Device-Level Signing - Sign Time (?s),,,
Stress Level,ESP32,Pi3B+,Pi5
0%,46284.49,474.94,165.53
25%,46283.79,327.1,139.97
50%,46284.46,305.44,149.95
99%,46283.34,349.35,173.04
,,,
Device-Level Signing - Verify Time (?s),,,
Stress Level,ESP32,Pi3B+,Pi5
0%,221.86,229.71,309.94
25%,213.71,224.16,293.77
50%,224.83,225.62,282.89
99%,200.95,234.95,286.3
