Block_Index,Message,HashTime_uS,VerifyTime_uS,PrevHash_OK,Valid
105,"t=22.91,h=36.36,p=1011.89",86,8,True,True
106,"t=22.91,h=36.36,p=1011.89",62,5,True,True
107,"t=22.91,h=36.36,p=1011.89",61,6,True,True
108,"t=22.91,h=36.36,p=1011.89",62,4,True,True
109,"t=22.91,h=36.29,p=1011.92",61,9,True,True
110,"t=22.91,h=36.29,p=1011.92",63,39,True,True
111,"t=22.91,h=36.29,p=1011.92",62,7,True,True
112,"t=22.91,h=36.29,p=1011.92",62,10,True,True
113,"t=22.91,h=36.29,p=1011.92",61,7,True,True
114,"t=22.91,h=36.29,p=1011.92",62,6,True,True
115,"t=22.91,h=36.29,p=1011.92",61,6,True,True
116,"t=22.91,h=36.29,p=1011.92",62,2,True,True
117,"t=22.91,h=36.29,p=1011.92",85,2,True,True
118,"t=22.91,h=36.29,p=1011.91",63,2,True,True
119,"t=22.91,h=36.29,p=1011.91",61,16,True,True
120,"t=22.91,h=36.29,p=1011.91",63,2,True,True
121,"t=22.91,h=36.29,p=1011.91",61,2,True,True
122,"t=22.91,h=36.29,p=1011.91",62,2,True,True
123,"t=22.91,h=36.29,p=1011.91",61,2,True,True
124,"t=22.91,h=36.29,p=1011.91",62,2,True,True
125,"t=22.91,h=36.29,p=1011.91",61,2,True,True
126,"t=22.91,h=36.29,p=1011.91",62,2,True,True
127,"t=22.91,h=36.29,p=1011.91",61,2,True,True
128,"t=22.89,h=36.36,p=1011.87",62,3,True,True
129,"t=22.89,h=36.36,p=1011.87",61,3,True,True
130,"t=22.89,h=36.36,p=1011.87",62,26,True,True
131,"t=22.89,h=36.36,p=1011.87",62,2,True,True
132,"t=22.89,h=36.36,p=1011.87",62,2,True,True
133,"t=22.89,h=36.36,p=1011.87",61,2,True,True
134,"t=22.89,h=36.36,p=1011.87",62,2,True,True
135,"t=22.89,h=36.36,p=1011.87",61,39,True,True
136,"t=22.89,h=36.36,p=1011.87",64,7,True,True
137,"t=22.89,h=36.36,p=1011.87",61,9,True,True
138,"t=22.91,h=36.37,p=1011.90",62,7,True,True
139,"t=22.91,h=36.37,p=1011.90",62,2,True,True
140,"t=22.91,h=36.37,p=1011.90",63,39,True,True
141,"t=22.91,h=36.37,p=1011.90",62,8,True,True
142,"t=22.91,h=36.37,p=1011.90",62,9,True,True
143,"t=22.91,h=36.37,p=1011.90",62,2,True,True
144,"t=22.91,h=36.37,p=1011.90",62,2,True,True
145,"t=22.91,h=36.37,p=1011.90",61,2,True,True
146,"t=22.91,h=36.37,p=1011.90",63,2,True,True
147,"t=22.91,h=36.37,p=1011.90",61,2,True,True
148,"t=22.92,h=36.37,p=1011.89",62,2,True,True
149,"t=22.92,h=36.37,p=1011.89",61,2,True,True
150,"t=22.92,h=36.37,p=1011.89",62,41,True,True
151,"t=22.92,h=36.37,p=1011.89",63,11,True,True
152,"t=22.92,h=36.37,p=1011.89",63,6,True,True
153,"t=22.92,h=36.37,p=1011.89",61,7,True,True
154,"t=22.92,h=36.37,p=1011.89",62,6,True,True
155,"t=22.92,h=36.37,p=1011.89",61,5,True,True
156,"t=22.92,h=36.37,p=1011.89",62,22,True,True
157,"t=22.92,h=36.39,p=1011.88",62,7,True,True
158,"t=22.92,h=36.39,p=1011.88",62,5,True,True
159,"t=22.92,h=36.39,p=1011.88",61,5,True,True
160,"t=22.92,h=36.39,p=1011.88",63,15,True,True
161,"t=22.92,h=36.39,p=1011.88",78,40,True,True
162,"t=22.92,h=36.39,p=1011.88",63,7,True,True
163,"t=22.92,h=36.39,p=1011.88",61,2,True,True
164,"t=22.92,h=36.39,p=1011.88",62,2,True,True
165,"t=22.92,h=36.39,p=1011.88",61,2,True,True
166,"t=22.92,h=36.39,p=1011.88",62,3,True,True
167,"t=22.93,h=36.42,p=1011.88",61,2,True,True
168,"t=22.93,h=36.42,p=1011.88",62,2,True,True
169,"t=22.93,h=36.42,p=1011.88",61,2,True,True
170,"t=22.93,h=36.42,p=1011.88",81,25,True,True
171,"t=22.93,h=36.42,p=1011.88",62,2,True,True
172,"t=22.93,h=36.42,p=1011.88",62,3,True,True
173,"t=22.93,h=36.42,p=1011.88",61,2,True,True
174,"t=22.93,h=36.42,p=1011.88",62,2,True,True
175,"t=22.93,h=36.42,p=1011.88",61,29,True,True
176,"t=22.93,h=36.42,p=1011.88",64,3,True,True
177,"t=22.93,h=36.39,p=1011.92",61,5,True,True
178,"t=22.93,h=36.39,p=1011.92",62,2,True,True
179,"t=22.93,h=36.39,p=1011.92",61,2,True,True
180,"t=22.93,h=36.39,p=1011.92",62,2,True,True
181,"t=22.93,h=36.39,p=1011.92",61,27,True,True
182,"t=22.93,h=36.39,p=1011.92",63,4,True,True
183,"t=22.93,h=36.39,p=1011.92",61,2,True,True
184,"t=22.93,h=36.39,p=1011.92",62,2,True,True
185,"t=22.93,h=36.39,p=1011.92",61,2,True,True
186,"t=22.94,h=36.45,p=1011.92",61,2,True,True
187,"t=22.94,h=36.45,p=1011.92",60,2,True,True
188,"t=22.94,h=36.45,p=1011.92",78,2,True,True
189,"t=22.94,h=36.45,p=1011.92",60,2,True,True
190,"t=22.94,h=36.45,p=1011.92",61,2,True,True
191,"t=22.94,h=36.45,p=1011.92",60,28,True,True
192,"t=22.94,h=36.45,p=1011.92",62,8,True,True
193,"t=22.94,h=36.45,p=1011.92",59,7,True,True
194,"t=22.94,h=36.45,p=1011.92",61,6,True,True
195,"t=22.94,h=36.45,p=1011.92",59,6,True,True
196,"t=22.94,h=36.48,p=1011.92",62,6,True,True
197,"t=22.94,h=36.48,p=1011.92",61,7,True,True
198,"t=22.94,h=36.48,p=1011.92",62,7,True,True
199,"t=22.94,h=36.48,p=1011.92",61,6,True,True
200,"t=22.94,h=36.48,p=1011.92",62,6,True,True
201,"t=22.94,h=36.48,p=1011.92",84,49,True,True
202,"t=22.94,h=36.48,p=1011.92",63,9,True,True
203,"t=22.94,h=36.48,p=1011.92",61,7,True,True
204,"t=22.94,h=36.48,p=1011.92",62,7,True,True
205,"t=22.94,h=36.48,p=1011.92",62,6,True,True
206,"t=22.94,h=36.50,p=1011.90",62,7,True,True
207,"t=22.94,h=36.50,p=1011.90",67,6,True,True
208,"t=22.94,h=36.50,p=1011.90",62,6,True,True
209,"t=22.94,h=36.50,p=1011.90",61,6,True,True
210,"t=22.94,h=36.50,p=1011.90",63,4,True,True
211,"t=22.94,h=36.50,p=1011.90",71,27,True,True
212,"t=22.94,h=36.50,p=1011.90",63,3,True,True
213,"t=22.94,h=36.50,p=1011.90",61,2,True,True
214,"t=22.94,h=36.50,p=1011.90",63,2,True,True
215,"t=22.94,h=36.51,p=1011.92",61,2,True,True
