Block_Index,Message,HashTime_uS,VerifyTime_uS,PrevHash_OK,Valid
228,"t=22.96,h=36.21,p=1011.93",62,106,False,False
229,"t=22.96,h=36.21,p=1011.93",70,6,False,False
230,"t=22.96,h=36.21,p=1011.93",62,6,False,False
231,"t=22.96,h=36.22,p=1011.92",61,5,False,False
232,"t=22.96,h=36.22,p=1011.92",63,6,False,False
233,"t=22.96,h=36.22,p=1011.92",61,5,False,False
234,"t=22.96,h=36.22,p=1011.92",62,5,False,False
235,"t=22.96,h=36.22,p=1011.92",61,5,False,False
236,"t=22.96,h=36.22,p=1011.92",62,5,False,False
237,"t=22.96,h=36.22,p=1011.92",61,5,False,False
238,"t=22.96,h=36.22,p=1011.92",62,6,False,False
239,"t=22.96,h=36.22,p=1011.92",61,5,False,False
240,"t=22.96,h=36.22,p=1011.92",63,25,False,False
241,"t=22.96,h=36.22,p=1011.90",70,14,False,False
242,"t=22.96,h=36.22,p=1011.90",62,7,False,False
243,"t=22.96,h=36.22,p=1011.90",61,7,False,False
244,"t=22.96,h=36.22,p=1011.90",62,12,False,False
245,"t=22.96,h=36.22,p=1011.90",61,11,False,False
246,"t=22.96,h=36.22,p=1011.90",63,11,False,False
247,"t=22.96,h=36.22,p=1011.90",61,5,False,False
248,"t=22.96,h=36.22,p=1011.90",62,5,False,False
249,"t=22.96,h=36.22,p=1011.90",61,5,False,False
250,"t=22.95,h=36.23,p=1011.89",62,5,False,False
251,"t=22.95,h=36.23,p=1011.89",61,7,False,False
252,"t=22.95,h=36.23,p=1011.89",62,6,False,False
253,"t=22.95,h=36.23,p=1011.89",61,28,False,False
254,"t=22.95,h=36.23,p=1011.89",70,16,False,False
255,"t=22.95,h=36.23,p=1011.89",62,7,False,False
256,"t=22.95,h=36.23,p=1011.89",61,15,False,False
257,"t=22.95,h=36.23,p=1011.89",63,11,False,False
258,"t=22.95,h=36.23,p=1011.89",61,13,False,False
259,"t=22.95,h=36.23,p=1011.89",62,7,False,False
260,"t=22.97,h=36.25,p=1011.93",61,26,False,False
261,"t=22.97,h=36.25,p=1011.93",64,12,False,False
262,"t=22.97,h=36.25,p=1011.93",61,13,False,False
263,"t=22.97,h=36.25,p=1011.93",63,12,False,False
264,"t=22.97,h=36.25,p=1011.93",61,11,False,False
265,"t=22.97,h=36.25,p=1011.93",62,15,False,False
266,"t=22.97,h=36.25,p=1011.93",63,5,False,False
267,"t=22.97,h=36.25,p=1011.93",62,5,False,False
268,"t=22.97,h=36.25,p=1011.93",61,6,False,False
269,"t=22.97,h=36.25,p=1011.93",63,12,False,False
270,"t=22.96,h=36.25,p=1011.93",61,11,False,False
271,"t=22.96,h=36.25,p=1011.93",62,41,False,False
272,"t=22.96,h=36.25,p=1011.93",62,12,False,False
273,"t=22.96,h=36.25,p=1011.93",63,11,False,False
274,"t=22.96,h=36.25,p=1011.93",61,14,False,False
275,"t=22.96,h=36.25,p=1011.93",86,5,False,False
276,"t=22.96,h=36.25,p=1011.93",61,5,False,False
277,"t=22.96,h=36.25,p=1011.93",62,5,False,False
278,"t=22.96,h=36.25,p=1011.93",61,5,False,False
279,"t=22.96,h=36.25,p=1011.93",63,5,False,False
280,"t=22.97,h=36.22,p=1011.93",62,7,False,False
281,"t=22.97,h=36.22,p=1011.93",62,5,False,False
282,"t=22.97,h=36.22,p=1011.93",61,5,False,False
283,"t=22.97,h=36.22,p=1011.93",62,15,False,False
284,"t=22.97,h=36.22,p=1011.93",69,5,False,False
285,"t=22.97,h=36.22,p=1011.93",62,7,False,False
286,"t=22.97,h=36.22,p=1011.93",61,5,False,False
287,"t=22.97,h=36.22,p=1011.93",63,5,False,False
288,"t=22.97,h=36.22,p=1011.93",61,5,False,False
289,"t=22.97,h=36.25,p=1011.93",63,5,False,False
290,"t=22.97,h=36.25,p=1011.93",61,5,False,False
291,"t=22.97,h=36.25,p=1011.93",62,6,False,False
292,"t=22.97,h=36.25,p=1011.93",77,5,False,False
293,"t=22.97,h=36.25,p=1011.93",63,5,False,False
294,"t=22.97,h=36.25,p=1011.93",61,5,False,False
295,"t=22.97,h=36.25,p=1011.93",62,20,False,False
296,"t=22.97,h=36.25,p=1011.93",71,19,False,False
297,"t=22.97,h=36.25,p=1011.93",62,11,False,False
298,"t=22.97,h=36.25,p=1011.93",61,9,False,False
299,"t=22.97,h=36.23,p=1011.92",62,5,False,False
300,"t=22.97,h=36.23,p=1011.92",73,5,False,False
301,"t=22.97,h=36.23,p=1011.92",64,15,False,False
302,"t=22.97,h=36.23,p=1011.92",62,7,False,False
303,"t=22.97,h=36.23,p=1011.92",62,5,False,False
304,"t=22.97,h=36.23,p=1011.92",61,5,False,False
305,"t=22.97,h=36.23,p=1011.92",62,5,False,False
306,"t=22.97,h=36.23,p=1011.92",80,49,False,False
307,"t=22.97,h=36.23,p=1011.92",63,9,False,False
308,"t=22.97,h=36.23,p=1011.92",61,5,False,False
309,"t=22.97,h=36.26,p=1011.94",62,28,False,False
310,"t=22.97,h=36.26,p=1011.94",61,19,False,False
311,"t=22.97,h=36.26,p=1011.94",62,8,False,False
312,"t=22.97,h=36.26,p=1011.94",61,6,False,False
313,"t=22.97,h=36.26,p=1011.94",62,6,False,False
314,"t=22.97,h=36.26,p=1011.94",61,6,False,False
315,"t=22.97,h=36.26,p=1011.94",62,5,False,False
316,"t=22.97,h=36.26,p=1011.94",79,6,False,False
317,"t=22.97,h=36.26,p=1011.94",63,5,False,False
318,"t=22.97,h=36.21,p=1011.97",61,38,False,False
319,"t=22.97,h=36.21,p=1011.97",71,16,False,False
320,"t=22.97,h=36.21,p=1011.97",62,23,False,False
321,"t=22.97,h=36.21,p=1011.97",61,5,False,False
322,"t=22.97,h=36.21,p=1011.97",63,5,False,False
323,"t=22.97,h=36.21,p=1011.97",70,41,False,False
324,"t=22.97,h=36.21,p=1011.97",63,12,False,False
325,"t=22.97,h=36.21,p=1011.97",61,8,False,False
326,"t=22.97,h=36.21,p=1011.97",62,13,False,False
327,"t=22.97,h=36.21,p=1011.97",61,5,False,False
328,"t=22.97,h=36.23,p=1011.91",62,5,False,False
329,"t=22.97,h=36.23,p=1011.91",66,5,False,False
330,"t=22.97,h=36.23,p=1011.91",62,5,False,False
331,"t=22.97,h=36.23,p=1011.91",61,5,False,False
332,"t=22.97,h=36.23,p=1011.91",63,5,False,False
333,"t=22.97,h=36.23,p=1011.91",61,5,False,False
334,"t=22.97,h=36.23,p=1011.91",62,6,False,False
335,"t=22.97,h=36.23,p=1011.91",61,25,False,False
336,"t=22.97,h=36.23,p=1011.91",69,20,False,False
337,"t=22.97,h=36.23,p=1011.91",63,16,False,False
338,"t=22.97,h=36.26,p=1011.93",61,19,False,False
339,"t=22.97,h=36.26,p=1011.93",63,15,False,False
340,"t=22.97,h=36.26,p=1011.93",61,12,False,False
341,"t=22.97,h=36.26,p=1011.93",62,20,False,False
342,"t=22.97,h=36.26,p=1011.93",62,9,False,False
343,"t=22.97,h=36.26,p=1011.93",63,5,False,False
344,"t=22.97,h=36.26,p=1011.93",61,10,False,False
345,"t=22.97,h=36.26,p=1011.93",63,15,False,False
346,"t=22.97,h=36.26,p=1011.93",61,8,False,False
347,"t=22.97,h=36.20,p=1011.93",62,4,False,False
348,"t=22.97,h=36.20,p=1011.93",61,4,False,False
349,"t=22.97,h=36.20,p=1011.93",62,9,False,False
350,"t=22.97,h=36.20,p=1011.93",61,28,False,False
351,"t=22.97,h=36.20,p=1011.93",64,14,False,False
352,"t=22.97,h=36.20,p=1011.93",61,16,False,False
353,"t=22.97,h=36.20,p=1011.93",62,20,False,False
354,"t=22.97,h=36.20,p=1011.93",62,16,False,False
355,"t=22.97,h=36.20,p=1011.93",63,6,False,False
356,"t=22.97,h=36.20,p=1011.93",61,6,False,False
357,"t=22.97,h=36.26,p=1011.89",62,5,False,False
358,"t=22.97,h=36.26,p=1011.89",61,5,False,False
359,"t=22.97,h=36.26,p=1011.89",62,5,False,False
360,"t=22.97,h=36.26,p=1011.89",61,5,False,False
361,"t=22.97,h=36.26,p=1011.89",62,6,False,False
362,"t=22.97,h=36.26,p=1011.89",61,5,False,False
363,"t=22.97,h=36.26,p=1011.89",62,5,False,False
364,"t=22.97,h=36.26,p=1011.89",61,6,False,False
365,"t=22.97,h=36.26,p=1011.89",63,5,False,False
366,"t=22.97,h=36.26,p=1011.89",61,28,False,False
367,"t=22.97,h=36.25,p=1011.92",69,17,False,False
368,"t=22.97,h=36.25,p=1011.92",63,17,False,False
369,"t=22.97,h=36.25,p=1011.92",61,21,False,False
370,"t=22.97,h=36.25,p=1011.92",63,18,False,False
371,"t=22.97,h=36.25,p=1011.92",61,15,False,False
372,"t=22.97,h=36.25,p=1011.92",62,38,False,False
373,"t=22.97,h=36.25,p=1011.92",62,7,False,False
374,"t=22.97,h=36.25,p=1011.92",62,7,False,False
375,"t=22.97,h=36.25,p=1011.92",61,5,False,False
376,"t=22.97,h=36.25,p=1011.92",62,6,False,False
377,"t=22.97,h=36.23,p=1011.94",61,5,False,False
378,"t=22.97,h=36.23,p=1011.94",62,5,False,False
379,"t=22.97,h=36.23,p=1011.94",81,8,False,False
380,"t=22.97,h=36.23,p=1011.94",62,5,False,False
381,"t=22.97,h=36.23,p=1011.94",61,6,False,False
382,"t=22.97,h=36.23,p=1011.94",63,5,False,False
383,"t=22.97,h=36.23,p=1011.94",61,5,False,False
384,"t=22.97,h=36.23,p=1011.94",71,27,False,False
385,"t=22.97,h=36.23,p=1011.94",63,17,False,False
