Chunk_ID,Size_Bytes,HashTime_uS,VerifyTime_uS,Valid
1,4096,20085,47372.20,True
2,4096,22015,36157.10,True
3,4096,19178,35876.60,True
4,4096,22695,35891.20,True
5,4096,20360,34618.20,True
6,4096,18924,37173.60,True
7,4096,19245,36171.50,True
8,4096,21172,35825.40,True
9,4096,19764,34731.80,True
10,4096,19489,36519.20,True
11,4096,23228,37352.30,True
12,4096,22068,37603.00,True
13,4096,18850,38567.50,True
14,4096,24716,37151.90,True
15,4096,21243,37202.60,True
16,4096,19756,38788.10,True
17,4096,18319,37293.00,True
18,4096,20242,38582.70,True
19,4096,20745,35938.30,True
20,4096,19593,37623.10,True
21,4096,20000,37017.60,True
22,4096,21195,36087.40,True
23,4096,22731,45545.60,True
24,4096,19248,46154.90,True
25,4096,21558,39505.50,True
26,4096,21554,40054.70,True
27,4096,19611,37072.70,True
28,4096,19910,38253.90,True
29,4096,20086,38036.60,True
30,4096,21135,36164.90,True
31,4096,18924,37394.90,True
32,4096,21873,35837.20,True
33,4096,21863,36831.60,True
34,4096,18730,38838.60,True
35,4096,20143,36726.30,True
36,4096,20296,38049.80,True
37,4096,19465,36621.20,True
38,4096,19382,36299.30,True
39,4096,19780,37829.70,True
40,4096,20040,35638.70,True
41,4096,21639,36799.70,True
42,4096,21246,36992.20,True
43,4096,18906,37490.20,True
44,4096,20089,37364.20,True
45,4096,19792,36381.40,True
46,4096,19917,37473.00,True
47,4096,18742,36157.00,True
48,4096,19721,36913.50,True
49,4096,18734,37015.70,True
50,4096,18855,36672.00,True
51,4096,20283,36894.60,True
52,4096,19920,36755.20,True
53,4096,20596,36049.50,True
54,4096,20089,36448.90,True
55,4096,20721,36104.40,True
56,4096,18916,37336.50,True
57,4096,19162,35088.00,True
58,4096,22567,35860.00,True
59,4096,24466,36016.70,True
60,4096,19364,38582.10,True
61,4096,20028,35960.00,True
62,4096,21940,39934.70,True
63,4096,22224,36073.00,True
64,4096,18675,37019.30,True
65,4096,21028,38047.00,True
66,4096,20096,36702.70,True
67,4096,18960,37192.30,True
68,4096,22725,38555.30,True
69,4096,25581,37613.70,True
70,4096,20447,35589.50,True
71,4096,18314,36919.60,True
72,4096,19609,38278.20,True
73,4096,21685,36072.60,True
74,4096,22445,36148.50,True
75,4096,21225,36844.60,True
76,4096,22518,35473.20,True
77,4096,23294,37373.20,True
