Chunk_ID,Sequence_ID,Size_Bytes,DeviceTime_uS,HashTime_uS,VerifyTime_uS,CID_Valid,Published
1,909323825,21,468,53056.60,54612.60,True,True
2,909323825,21,522,54283.00,54644.60,True,True
3,909323825,21,449,54191.30,54471.30,True,True
4,909323825,21,453,54622.20,52994.30,True,True
5,909323825,21,468,58679.60,56074.90,True,True
6,909323825,21,453,56521.10,55080.10,True,True
7,926101041,21,446,55007.00,55006.00,True,True
8,926101041,21,451,55180.10,54373.80,True,True
9,926101041,21,446,54257.50,55526.20,True,True
10,926101041,21,470,56152.20,53895.10,True,True
11,926101041,21,445,56830.90,55540.90,True,True
12,926101041,21,451,55315.90,55831.00,True,True
13,926101041,21,492,54708.00,58556.20,True,True
14,926101041,21,470,59525.50,54771.30,True,True
15,926101041,21,445,54963.60,56146.50,True,True
16,858992177,21,454,57497.70,54895.70,True,True
17,858992177,21,450,56958.60,57990.40,True,True
18,858992177,21,454,55247.70,54003.60,True,True
19,858992177,21,450,55283.50,55485.60,True,True
20,858992177,21,454,57032.30,53523.90,True,True
21,858992177,21,449,55846.40,55370.90,True,True
22,858992177,21,454,55879.60,56113.20,True,True
23,858992177,21,449,56997.00,55715.60,True,True
24,926101041,21,475,54835.40,55686.20,True,True
25,926101041,21,449,55588.10,58001.80,True,True
26,926101041,21,454,56696.70,56203.40,True,True
27,926101041,21,450,55751.30,55119.20,True,True
28,926101041,21,455,54438.20,56896.00,True,True
29,926101041,21,450,54812.60,54903.20,True,True
30,926101041,21,520,54801.00,56977.00,True,True
31,926101041,21,450,55534.70,56370.10,True,True
32,926101041,21,460,54797.10,56247.20,True,True
33,942878257,21,469,56498.60,55771.20,True,True
34,942878257,21,458,55957.40,58020.50,True,True
35,942878257,21,450,56875.80,55981.10,True,True
36,942878257,21,458,55794.90,54529.20,True,True
37,942878257,21,449,55373.00,55248.60,True,True
38,942878257,21,454,57154.00,56357.90,True,True
39,942878257,21,449,55452.60,57305.40,True,True
40,942878257,21,458,53096.50,55945.90,True,True
41,942878257,21,445,55277.70,53391.30,True,True
42,875769393,21,450,55092.60,56167.10,True,True
43,875769393,21,464,54426.30,55259.00,True,True
44,875769393,21,450,54525.80,54742.90,True,True
45,875769393,21,445,55242.30,55219.70,True,True
46,875769393,21,505,54845.30,56513.90,True,True
47,875769393,21,469,57523.10,56376.20,True,True
48,875769393,21,486,56334.10,56535.60,True,True
49,875769393,21,447,54527.70,55828.30,True,True
50,875769393,21,451,55816.10,54856.00,True,True
51,892546609,21,470,55429.50,53625.50,True,True
52,892546609,21,473,55740.60,57152.40,True,True
53,892546609,21,451,55388.90,55757.90,True,True
54,892546609,21,458,57034.90,54590.20,True,True
55,892546609,21,512,56809.40,55586.90,True,True
56,892546609,21,472,56392.60,55674.40,True,True
57,892546609,21,449,56051.30,58769.40,True,True
58,892546609,21,453,55610.40,55985.80,True,True
59,892546609,21,449,54617.00,55602.80,True,True
60,892546609,21,531,54473.40,54669.10,True,True
61,892546609,21,467,55040.60,54148.70,True,True
62,892546609,21,450,57470.80,52988.10,True,True
63,892546609,21,446,56554.30,57317.80,True,True
64,892546609,21,451,57091.60,54236.20,True,True
65,892546609,21,446,55779.50,56227.10,True,True
66,892546609,21,470,54777.40,56055.20,True,True
67,892546609,21,444,55395.60,56577.50,True,True
68,842214961,21,451,54437.00,58500.50,True,True
69,842214961,21,505,56582.60,55658.00,True,True
70,842214961,21,451,55831.30,55900.60,True,True
71,842214961,21,465,55535.10,54596.40,True,True
72,842214961,21,455,55144.10,54797.30,True,True
73,842214961,21,446,56529.90,55499.90,True,True
74,842214961,21,489,54900.60,55602.90,True,True
75,842214961,21,466,55291.00,56874.50,True,True
76,842214961,21,450,55490.00,58297.30,True,True
77,926101041,21,449,56000.30,55734.50,True,True
78,926101041,21,457,54752.80,57171.40,True,True
79,926101041,21,449,55126.50,55394.80,True,True
80,926101041,21,453,55781.20,55231.20,True,True
81,926101041,21,444,58654.40,57474.70,True,True
82,926101041,21,454,56073.60,56260.30,True,True
83,926101041,21,450,55673.50,56086.80,True,True
84,926101041,21,456,56454.20,55553.90,True,True
85,926101041,21,449,56535.50,54355.60,True,True
86,926101041,21,452,55613.60,53194.80,True,True
87,926101041,21,449,58743.70,55524.70,True,True
88,926101041,21,454,56586.00,55305.60,True,True
89,926101041,21,468,56478.20,56413.10,True,True
90,926101041,21,458,54260.50,55806.20,True,True
91,926101041,21,451,54640.10,54730.60,True,True
92,926101041,21,457,54577.70,55500.70,True,True
93,926101041,21,449,54331.40,55420.60,True,True
94,926101041,21,472,55084.70,55558.10,True,True
95,875769393,21,448,56820.90,54812.10,True,True
96,875769393,21,456,56593.10,54057.50,True,True
97,875769393,21,449,56759.90,56066.70,True,True
98,875769393,21,454,54213.40,56478.30,True,True
99,875769393,21,449,53763.50,57075.40,True,True
100,875769393,21,453,55102.40,54011.30,True,True
101,875769393,21,448,57911.80,58169.10,True,True
102,875769393,21,453,55896.20,55905.40,True,True
103,875769393,21,448,54474.70,55661.70,True,True
104,942878257,21,453,55966.20,56131.90,True,True
105,942878257,21,449,55282.90,56973.70,True,True
106,942878257,21,454,57408.80,57634.00,True,True
107,942878257,21,449,54036.00,56788.70,True,True
108,942878257,21,474,55486.70,58084.50,True,True
109,942878257,21,450,55926.60,56551.10,True,True
110,942878257,21,457,56492.80,56281.40,True,True
111,942878257,21,449,53343.50,58578.10,True,True
112,892546609,21,453,53907.40,55042.30,True,True
113,892546609,21,449,56017.50,55290.80,True,True
114,892546609,21,454,54656.40,59104.00,True,True
115,892546609,21,450,55673.00,56665.10,True,True
116,892546609,21,453,54041.20,55496.10,True,True
117,892546609,21,468,52509.90,55727.40,True,True
118,892546609,21,453,54949.70,55302.40,True,True
119,892546609,21,449,56421.10,55209.90,True,True
120,892546609,21,453,54995.50,55660.20,True,True
121,942878257,21,449,56260.80,55779.90,True,True
122,942878257,21,473,55348.00,58583.20,True,True
123,942878257,21,476,56935.40,54665.40,True,True
124,942878257,21,454,56802.30,54706.50,True,True
125,942878257,21,454,56248.30,57240.90,True,True
126,942878257,21,474,56236.60,53665.30,True,True
127,942878257,21,449,55873.50,58609.50,True,True
128,942878257,21,453,54012.50,55960.90,True,True
129,942878257,21,448,54432.90,57769.80,True,True
130,959655473,21,454,54551.80,54561.80,True,True
131,959655473,21,448,55475.10,56205.40,True,True
132,959655473,21,453,54899.80,54643.20,True,True
133,959655473,21,447,55598.70,55463.80,True,True
134,959655473,21,523,54065.80,54998.70,True,True
135,959655473,21,467,56524.10,56788.20,True,True
136,959655473,21,454,56798.90,55991.10,True,True
137,959655473,21,450,54981.70,55711.50,True,True
138,959655473,21,459,56298.00,55354.20,True,True
139,875769393,21,475,56449.80,54200.00,True,True
140,875769393,21,453,55796.80,54672.80,True,True
141,875769393,21,450,55733.90,56355.50,True,True
142,875769393,21,456,56684.10,57162.40,True,True
143,875769393,21,450,56073.70,54546.90,True,True
144,875769393,21,454,55006.60,55452.80,True,True
145,875769393,21,468,55874.70,54962.80,True,True
146,875769393,21,453,55424.30,53740.00,True,True
147,875769393,21,444,54464.10,56111.10,True,True
148,942878257,21,453,58411.20,56498.00,True,True
149,942878257,21,449,55113.70,54549.90,True,True
150,942878257,21,472,55832.80,56239.40,True,True
151,942878257,21,472,56553.50,57487.30,True,True
152,942878257,21,453,57806.20,56328.30,True,True
153,942878257,21,449,55085.70,56922.90,True,True
154,942878257,21,473,56212.40,54902.20,True,True
155,942878257,21,444,55592.90,58456.20,True,True
156,942878257,21,454,57558.80,54249.50,True,True
157,892546609,21,450,53910.40,53175.00,True,True
158,892546609,21,455,55658.80,54354.60,True,True
159,892546609,21,469,55580.30,54642.30,True,True
160,892546609,21,454,57369.90,52839.30,True,True
161,892546609,21,450,56279.90,55229.90,True,True
162,892546609,21,462,54749.50,56346.30,True,True
163,892546609,21,472,57318.00,55587.80,True,True
