Chunk_ID,Sequence_ID,Size_Bytes,DeviceTime_uS,HashTime_uS,VerifyTime_uS,CID_Valid,Published
1,808857144,21,448,53091.00,59189.10,True,True
2,808857144,21,492,56485.90,56537.70,True,True
3,808857144,21,449,57421.40,57269.80,True,True
4,808857144,21,452,56489.30,58369.80,True,True
5,808857144,21,445,55033.40,58427.40,True,True
6,808857144,21,447,58848.40,57184.30,True,True
7,909454904,21,451,55896.70,57599.40,True,True
8,909454904,21,446,54550.60,56551.20,True,True
9,909454904,21,447,57324.50,56665.30,True,True
10,909454904,21,446,54938.00,55847.50,True,True
11,909454904,21,447,56916.10,55141.10,True,True
12,909454904,21,446,56712.10,57191.30,True,True
13,909454904,21,449,56538.60,57327.50,True,True
14,909454904,21,445,58143.00,56637.80,True,True
15,909454904,21,447,56274.30,56906.20,True,True
16,926232120,21,452,57685.70,56027.70,True,True
17,926232120,21,447,54732.40,54599.10,True,True
18,926232120,21,444,54518.40,60162.30,True,True
19,926232120,21,447,54281.10,56105.60,True,True
20,926232120,21,443,57845.60,57358.80,True,True
21,926232120,21,447,61488.70,53458.50,True,True
22,926232120,21,445,55223.80,55656.90,True,True
23,926232120,21,521,56372.30,55763.30,True,True
24,926232120,21,454,55628.60,57161.00,True,True
25,959786552,21,455,57074.90,56724.60,True,True
26,959786552,21,444,54823.80,56636.40,True,True
27,959786552,21,446,57133.00,57979.90,True,True
28,959786552,21,444,57310.20,56045.30,True,True
29,959786552,21,445,58109.90,57234.10,True,True
30,959786552,21,444,56708.60,57491.30,True,True
31,959786552,21,446,55874.50,55540.10,True,True
32,959786552,21,444,55323.90,55715.50,True,True
33,959786552,21,446,55680.10,54704.50,True,True
34,943009336,21,444,55478.70,54763.40,True,True
35,943009336,21,457,54434.40,56840.60,True,True
36,943009336,21,444,55981.80,59185.80,True,True
37,943009336,21,447,55705.20,55617.00,True,True
38,943009336,21,480,59658.30,56527.90,True,True
39,943009336,21,455,56960.30,55795.90,True,True
40,943009336,21,448,56728.00,54726.00,True,True
41,943009336,21,447,54125.80,56785.70,True,True
42,943009336,21,445,54743.30,54015.50,True,True
43,892677688,21,466,54702.20,54571.60,True,True
44,892677688,21,465,57410.30,54644.40,True,True
45,892677688,21,464,56626.30,55528.30,True,True
46,892677688,21,445,56630.60,56971.90,True,True
