Chunk_ID,Sequence_ID,Size_Bytes,DeviceTime_uS,HashTime_uS,VerifyTime_uS,CID_Valid,Published
1,892677681,21,461,54313.60,56985.70,True,True
2,892677681,21,461,60375.70,57776.70,True,True
3,892677681,21,452,57869.10,56844.10,True,True
4,892677681,21,460,56628.40,56865.00,True,True
5,892677681,21,451,54452.70,57584.50,True,True
6,842346033,21,470,55338.20,54996.90,True,True
7,842346033,21,451,56640.60,56588.50,True,True
8,842346033,21,460,55511.80,60409.60,True,True
9,842346033,21,451,55061.60,54319.30,True,True
10,842346033,21,461,55073.10,55495.20,True,True
11,842346033,21,460,55065.20,55111.40,True,True
12,842346033,21,460,54555.00,54742.10,True,True
13,842346033,21,452,54013.90,57690.50,True,True
14,842346033,21,460,58140.80,58704.80,True,True
15,842346033,21,451,54396.80,57250.40,True,True
16,842346033,21,461,56687.90,56457.00,True,True
17,842346033,21,450,54785.00,54778.60,True,True
18,842346033,21,461,55788.60,55257.90,True,True
19,842346033,21,461,59011.60,55961.80,True,True
20,842346033,21,460,55856.70,57718.50,True,True
21,842346033,21,451,53704.60,55216.00,True,True
22,842346033,21,461,53511.10,55990.40,True,True
23,842346033,21,451,58811.10,55088.60,True,True
24,859123249,21,461,56986.70,56198.90,True,True
25,859123249,21,450,55216.80,56135.90,True,True
26,859123249,21,551,54366.90,61572.00,True,True
27,859123249,21,452,54391.30,54591.30,True,True
28,859123249,21,465,57786.40,54827.00,True,True
29,859123249,21,462,54830.70,54489.00,True,True
30,859123249,21,461,55517.30,55703.40,True,True
31,859123249,21,452,55100.80,58241.70,True,True
32,859123249,21,460,55755.90,56867.40,True,True
33,842346033,21,452,60198.00,55864.50,True,True
34,842346033,21,460,55882.30,57304.20,True,True
35,842346033,21,451,54979.50,54762.70,True,True
36,842346033,21,460,54261.10,55491.10,True,True
37,842346033,21,453,56850.90,57472.40,True,True
38,842346033,21,462,55660.90,55972.40,True,True
39,842346033,21,451,56081.20,63965.10,True,True
40,842346033,21,464,56370.40,55046.00,True,True
41,859123249,21,450,54195.90,54747.90,True,True
42,859123249,21,459,57397.20,54201.70,True,True
43,859123249,21,463,55825.60,54340.50,True,True
44,859123249,21,461,56276.60,60341.50,True,True
45,859123249,21,453,58807.30,59731.90,True,True
46,859123249,21,460,53879.80,55307.10,True,True
47,859123249,21,457,55906.00,54396.80,True,True
48,859123249,21,472,56111.80,56450.40,True,True
49,859123249,21,451,56612.70,55242.60,True,True
50,842346033,21,461,55278.40,55033.80,True,True
51,842346033,21,452,56987.00,56056.50,True,True
52,842346033,21,460,58233.10,55923.90,True,True
53,842346033,21,460,57088.00,55670.70,True,True
54,842346033,21,470,53602.10,56396.80,True,True
55,842346033,21,451,54875.60,57360.40,True,True
56,842346033,21,461,55132.00,55868.40,True,True
57,842346033,21,450,54824.20,54363.00,True,True
58,842346033,21,469,54699.00,63797.90,True,True
59,875900465,21,455,54281.70,56819.50,True,True
60,875900465,21,461,57504.30,57383.90,True,True
61,875900465,21,451,53994.30,57873.00,True,True
62,875900465,21,476,56443.50,54508.40,True,True
63,875900465,21,451,56160.40,56742.30,True,True
64,875900465,21,466,54123.20,63150.50,True,True
65,875900465,21,443,54049.60,54491.00,True,True
66,875900465,21,470,55327.50,56024.50,True,True
67,875900465,21,452,56950.40,54927.90,True,True
68,892677681,21,461,52967.20,55492.80,True,True
69,892677681,21,451,57092.60,55576.30,True,True
70,892677681,21,498,62185.90,59770.50,True,True
71,892677681,21,454,56444.10,55213.00,True,True
72,892677681,21,462,54883.60,56667.30,True,True
73,892677681,21,451,54234.60,54346.10,True,True
74,892677681,21,538,56927.60,55161.50,True,True
75,892677681,21,462,55581.20,54656.90,True,True
76,892677681,21,461,59616.10,55620.20,True,True
77,875900465,21,451,56497.40,57326.70,True,True
78,875900465,21,461,63067.40,56854.70,True,True
79,875900465,21,450,55163.50,57529.20,True,True
80,875900465,21,470,57087.40,55042.20,True,True
81,875900465,21,453,54416.30,54120.90,True,True
82,875900465,21,461,55387.60,70520.80,True,True
83,875900465,21,451,54018.40,54650.20,True,True
84,875900465,21,460,55618.10,55195.60,True,True
85,875900465,21,471,54918.00,54525.60,True,True
86,875900465,21,460,59569.00,57974.00,True,True
87,875900465,21,451,55752.80,57816.30,True,True
88,875900465,21,460,56054.10,61273.10,True,True
89,875900465,21,442,54544.90,56968.10,True,True
90,875900465,21,460,54301.60,57383.20,True,True
91,875900465,21,452,61678.70,58580.90,True,True
92,875900465,21,460,55794.70,54571.60,True,True
93,875900465,21,453,57186.20,55136.20,True,True
94,842346033,21,470,54566.20,54183.40,True,True
95,842346033,21,451,55807.20,64407.00,True,True
96,842346033,21,461,55441.90,55851.60,True,True
97,842346033,21,452,57043.30,54237.40,True,True
98,842346033,21,460,56350.90,55287.20,True,True
99,842346033,21,460,55229.60,56793.30,True,True
100,842346033,21,461,56948.40,56938.80,True,True
101,842346033,21,452,55997.00,53817.20,True,True
102,842346033,21,470,57464.00,58378.90,True,True
103,926232113,21,444,55466.80,55151.80,True,True
104,926232113,21,460,57746.30,54659.50,True,True
105,926232113,21,461,55401.90,56554.40,True,True
106,926232113,21,460,54804.00,53896.20,True,True
107,926232113,21,450,54676.30,54678.10,True,True
108,926232113,21,460,55997.80,59160.50,True,True
109,926232113,21,450,56659.70,55039.00,True,True
110,926232113,21,470,54035.60,54104.60,True,True
111,926232113,21,451,56549.40,52518.30,True,True
112,842346033,21,460,54810.50,55883.20,True,True
113,842346033,21,451,55546.20,55792.80,True,True
114,842346033,21,462,55047.20,60551.80,True,True
115,842346033,21,451,58329.10,58579.90,True,True
116,842346033,21,461,56274.00,54605.20,True,True
117,842346033,21,451,55691.10,56575.20,True,True
118,842346033,21,461,53792.50,57128.60,True,True
119,842346033,21,451,56732.50,55068.70,True,True
120,842346033,21,461,57455.70,58737.20,True,True
121,859123249,21,450,52362.90,55035.70,True,True
122,859123249,21,469,54309.00,55215.50,True,True
123,859123249,21,455,55362.10,56265.00,True,True
124,859123249,21,460,56631.60,54746.00,True,True
125,859123249,21,451,55108.60,55212.00,True,True
126,859123249,21,465,53556.70,57582.70,True,True
127,859123249,21,460,56841.90,59018.20,True,True
128,859123249,21,461,55818.10,52729.50,True,True
129,859123249,21,450,55499.30,56503.00,True,True
130,825568817,21,461,54847.70,55315.50,True,True
131,825568817,21,452,56148.80,55332.00,True,True
132,825568817,21,460,55731.80,53041.20,True,True
133,825568817,21,450,55581.00,58771.30,True,True
134,825568817,21,461,55801.80,54771.70,True,True
135,825568817,21,451,54684.30,55874.20,True,True
136,825568817,21,460,55485.30,58499.10,True,True
137,825568817,21,443,54550.50,54962.60,True,True
138,875900465,21,459,55287.00,54015.70,True,True
139,875900465,21,450,55640.40,56927.90,True,True
140,875900465,21,460,60663.70,55875.20,True,True
141,875900465,21,460,55454.40,56176.40,True,True
142,875900465,21,460,57604.30,56480.60,True,True
143,875900465,21,450,54913.00,54821.40,True,True
144,875900465,21,461,57798.70,56001.00,True,True
145,875900465,21,459,58137.80,55557.10,True,True
146,875900465,21,458,55537.10,56394.60,True,True
147,842346033,21,539,61674.60,55959.10,True,True
148,842346033,21,461,57006.40,54940.30,True,True
149,842346033,21,457,55290.80,55577.50,True,True
150,842346033,21,471,54809.00,55173.30,True,True
151,842346033,21,451,54843.50,57570.30,True,True
152,842346033,21,461,56336.40,57763.50,True,True
153,842346033,21,452,55968.00,55550.90,True,True
154,842346033,21,461,59140.40,53616.30,True,True
155,842346033,21,450,55649.10,53852.20,True,True
156,808791601,21,461,56971.30,54012.20,True,True
157,808791601,21,466,53699.30,56395.90,True,True
158,808791601,21,468,55598.30,55876.20,True,True
159,808791601,21,460,61205.70,53810.10,True,True
160,808791601,21,460,55448.40,54966.60,True,True
161,808791601,21,453,53571.00,55798.40,True,True
162,808791601,21,460,54439.30,55471.70,True,True
163,808791601,21,453,54763.90,54737.40,True,True
164,808791601,21,460,56767.50,54807.00,True,True
165,959721009,21,451,61959.70,54512.90,True,True
166,959721009,21,461,55923.60,56287.30,True,True
167,959721009,21,480,56252.50,54150.70,True,True
168,959721009,21,469,58161.50,58968.20,True,True
169,959721009,21,460,55052.80,56068.60,True,True
170,959721009,21,460,56629.50,55064.20,True,True
171,959721009,21,450,55489.60,54468.20,True,True
172,959721009,21,461,57188.30,55284.40,True,True
173,959721009,21,450,54157.00,53377.30,True,True
174,808791601,21,497,55707.20,55166.90,True,True
175,808791601,21,451,54566.10,56467.30,True,True
176,808791601,21,461,55172.90,54487.70,True,True
177,808791601,21,506,55691.10,54454.00,True,True
178,808791601,21,461,59144.30,54858.50,True,True
