Chunk_ID,Sequence_ID,Size_Bytes,DeviceTime_uS,HashTime_uS,VerifyTime_uS,CID_Valid,Published
1,892546609,21,454,55843.10,54437.80,True,True
2,892546609,21,451,54365.40,55291.10,True,True
3,892546609,21,453,55577.70,55390.50,True,True
4,909323825,21,451,57253.80,54354.20,True,True
5,909323825,21,473,56396.40,53653.10,True,True
6,909323825,21,450,56953.80,54835.10,True,True
7,909323825,21,453,54841.30,54235.80,True,True
8,909323825,21,455,55178.60,53193.90,True,True
9,909323825,21,455,56049.10,56729.40,True,True
10,909323825,21,471,56313.90,57270.60,True,True
11,909323825,21,490,56769.90,54588.80,True,True
12,926101041,21,451,53179.00,53458.60,True,True
13,926101041,21,453,55079.30,55266.10,True,True
14,926101041,21,475,56786.80,56236.00,True,True
15,926101041,21,454,57205.40,55010.80,True,True
16,926101041,21,455,53445.30,57003.80,True,True
17,926101041,21,453,55672.70,53698.70,True,True
18,926101041,21,462,57292.40,54203.10,True,True
19,926101041,21,453,56071.00,52995.70,True,True
20,926101041,21,454,57061.70,56987.90,True,True
21,892546609,21,458,55569.10,54592.10,True,True
22,892546609,21,534,57129.30,56194.30,True,True
23,892546609,21,478,55012.40,53165.50,True,True
24,892546609,21,451,57573.70,55307.90,True,True
25,892546609,21,454,54665.50,54435.80,True,True
26,892546609,21,455,56550.20,56118.60,True,True
27,892546609,21,454,56653.90,55577.10,True,True
28,892546609,21,451,57226.10,54213.30,True,True
29,892546609,21,496,55632.90,56607.20,True,True
30,926101041,21,451,55021.20,55904.70,True,True
31,926101041,21,452,56453.80,53859.80,True,True
32,926101041,21,451,57323.10,53719.20,True,True
33,926101041,21,474,58059.80,56525.60,True,True
34,926101041,21,450,56219.00,54078.30,True,True
35,926101041,21,453,55347.50,54395.80,True,True
36,926101041,21,478,53170.40,54944.90,True,True
37,926101041,21,474,56061.20,54260.20,True,True
38,926101041,21,451,56659.40,52446.40,True,True
39,942878257,21,457,57322.90,53974.00,True,True
40,942878257,21,451,56762.80,55042.30,True,True
41,942878257,21,455,55171.40,53954.00,True,True
42,942878257,21,472,54966.60,54572.30,True,True
43,942878257,21,454,55134.20,52130.20,True,True
44,942878257,21,452,54332.70,54866.80,True,True
45,942878257,21,518,57072.40,56201.10,True,True
46,942878257,21,472,56992.40,55994.90,True,True
47,942878257,21,454,56181.40,54488.80,True,True
48,858992177,21,446,57835.50,54857.70,True,True
49,858992177,21,450,53781.30,56698.20,True,True
50,858992177,21,452,55396.80,54182.90,True,True
51,858992177,21,470,56776.80,54731.90,True,True
52,858992177,21,447,57615.70,54688.10,True,True
53,858992177,21,450,56661.90,54375.90,True,True
54,858992177,21,447,55750.90,57257.80,True,True
55,858992177,21,450,55347.90,56039.00,True,True
56,858992177,21,457,56295.30,56623.80,True,True
57,842214961,21,470,56808.50,52780.00,True,True
58,842214961,21,456,56400.10,55742.30,True,True
59,842214961,21,445,56124.20,53322.60,True,True
60,842214961,21,451,58121.50,55495.90,True,True
61,842214961,21,487,53619.90,58403.00,True,True
62,842214961,21,471,58252.00,53927.60,True,True
63,842214961,21,448,54554.50,55610.90,True,True
64,842214961,21,456,57386.40,58280.00,True,True
65,942878257,21,447,55195.70,55569.20,True,True
66,942878257,21,476,56529.50,55864.50,True,True
67,942878257,21,448,55508.50,55534.80,True,True
68,942878257,21,456,55744.30,55938.90,True,True
69,942878257,21,447,53024.00,54348.50,True,True
70,942878257,21,454,56049.80,56378.40,True,True
71,942878257,21,468,57165.70,55022.50,True,True
72,942878257,21,458,56678.70,55564.70,True,True
73,942878257,21,447,55733.50,55444.40,True,True
74,926101041,21,456,55993.20,55750.10,True,True
75,926101041,21,469,57607.40,55113.10,True,True
76,926101041,21,456,56626.40,54597.70,True,True
77,926101041,21,449,55856.60,55917.20,True,True
78,926101041,21,456,56102.90,54743.10,True,True
79,926101041,21,449,55607.10,56278.00,True,True
80,926101041,21,474,55543.90,56427.30,True,True
81,926101041,21,453,56068.50,56280.90,True,True
82,926101041,21,456,55369.10,56129.90,True,True
83,942878257,21,508,56598.40,57048.90,True,True
84,942878257,21,476,57091.20,53983.70,True,True
85,942878257,21,449,55052.30,53951.40,True,True
86,942878257,21,456,57725.80,52811.60,True,True
87,942878257,21,449,57884.90,71968.50,True,True
88,942878257,21,456,55584.60,53697.30,True,True
89,942878257,21,450,54856.20,54641.60,True,True
90,942878257,21,456,54498.00,54562.70,True,True
91,942878257,21,455,54130.60,55103.20,True,True
92,909323825,21,456,53990.40,55586.90,True,True
93,909323825,21,448,54783.40,55977.10,True,True
94,909323825,21,456,57643.40,55594.30,True,True
95,909323825,21,448,56523.90,54156.00,True,True
96,909323825,21,455,57562.20,54623.40,True,True
97,909323825,21,458,56268.30,54065.70,True,True
98,909323825,21,475,54608.20,53155.70,True,True
99,909323825,21,449,63736.70,52887.20,True,True
100,909323825,21,456,54914.70,55392.00,True,True
101,926101041,21,449,56756.90,53842.60,True,True
102,926101041,21,456,54377.30,54994.40,True,True
103,926101041,21,448,55365.40,55478.50,True,True
104,926101041,21,455,58709.40,53619.40,True,True
105,926101041,21,448,54925.90,56368.10,True,True
106,926101041,21,524,55126.30,57484.40,True,True
107,926101041,21,472,54211.30,53917.40,True,True
108,926101041,21,456,54587.30,56476.20,True,True
109,875769393,21,454,56837.70,56759.60,True,True
110,875769393,21,456,56332.00,54881.20,True,True
111,875769393,21,449,57095.20,54882.00,True,True
112,875769393,21,456,54827.80,54639.40,True,True
113,875769393,21,448,55618.50,54196.90,True,True
114,875769393,21,456,57805.10,54695.10,True,True
115,875769393,21,455,53877.70,55318.20,True,True
116,875769393,21,458,55884.80,57051.40,True,True
117,875769393,21,468,56375.80,54193.50,True,True
