Chunk_ID,Size_Bytes,DeviceTime_uS,HashTime_uS,VerifyTime_uS,CID_Valid,Published
1,25,462,382014.00,57643.30,True,True
2,25,457,54616.40,56850.40,True,True
3,25,442,57594.10,59644.40,True,True
4,25,448,60816.70,56457.90,True,True
5,25,441,59130.20,59104.30,True,True
6,25,448,56399.00,55333.70,True,True
7,25,440,55910.00,58530.80,True,True
8,25,450,57799.40,54748.60,True,True
9,25,440,57316.90,58959.50,True,True
10,25,450,55576.60,55275.70,True,True
11,25,442,52893.80,57947.90,True,True
12,25,448,55320.30,56287.60,True,True
13,25,441,55613.30,56232.00,True,True
14,25,450,58576.80,57058.30,True,True
15,25,440,55771.10,54163.90,True,True
16,25,449,55601.70,54598.60,True,True
17,25,440,54837.00,52844.40,True,True
18,25,495,55541.50,57477.90,True,True
19,25,454,56547.30,53824.50,True,True
20,25,448,54566.60,56275.00,True,True
21,25,440,55952.40,53178.50,True,True
22,25,448,57366.60,59421.40,True,True
23,25,441,60422.40,62952.70,True,True
24,25,449,58058.90,56409.50,True,True
25,25,441,55312.20,55884.60,True,True
26,25,482,56373.50,56897.90,True,True
27,25,441,53008.80,55028.30,True,True
28,25,449,56957.40,52596.50,True,True
29,25,441,54449.10,56439.40,True,True
30,25,459,56113.30,54145.10,True,True
31,25,442,54626.90,56006.50,True,True
32,25,449,54273.20,53848.20,True,True
33,25,441,55910.60,54710.70,True,True
34,25,448,54183.10,56661.10,True,True
35,25,440,53956.00,53908.70,True,True
36,25,449,55518.80,55259.80,True,True
37,25,442,53640.10,58062.20,True,True
38,25,458,53881.00,54988.70,True,True
39,25,442,57333.70,55791.30,True,True
40,25,451,58012.70,53804.10,True,True
41,25,441,53435.80,53424.80,True,True
42,25,449,52430.10,54045.70,True,True
43,25,441,54537.50,54909.10,True,True
44,25,448,54195.70,54918.70,True,True
45,25,441,56613.00,55253.90,True,True
46,25,447,56933.20,55714.90,True,True
47,25,468,55471.40,53256.60,True,True
48,25,457,54469.00,54495.20,True,True
49,25,442,53016.20,55262.40,True,True
50,25,448,55157.00,53351.20,True,True
51,25,441,56905.10,55353.60,True,True
52,25,449,56295.80,55440.90,True,True
