Chunk_ID,Sequence_ID,Size_Bytes,DeviceTime_uS,HashTime_uS,VerifyTime_uS,CID_Valid,Published
1,909389361,21,460,57149.20,55504.30,True,True
2,909389361,21,463,54222.90,55266.50,True,True
3,909389361,21,452,59807.10,56371.20,True,True
4,909389361,21,500,54731.90,55374.30,True,True
5,892612145,21,461,55511.70,54643.10,True,True
6,892612145,21,462,54908.80,53520.90,True,True
7,892612145,21,450,59551.60,55187.10,True,True
8,892612145,21,464,57833.40,60446.50,True,True
9,892612145,21,451,55742.90,55360.30,True,True
10,892612145,21,460,57482.00,54679.50,True,True
11,892612145,21,451,56178.00,54990.40,True,True
12,892612145,21,463,55447.20,55864.90,True,True
13,892612145,21,452,56593.80,56855.30,True,True
14,926166577,21,460,59128.90,56895.10,True,True
15,926166577,21,463,59724.60,54621.20,True,True
16,926166577,21,460,56055.60,55164.90,True,True
17,926166577,21,454,58178.10,55647.70,True,True
18,926166577,21,460,56731.10,55100.60,True,True
19,926166577,21,454,59329.40,55642.90,True,True
20,926166577,21,461,53354.00,55750.80,True,True
21,926166577,21,451,59305.50,55138.20,True,True
22,926166577,21,461,56167.70,59159.70,True,True
23,926166577,21,453,55675.80,54056.00,True,True
24,926166577,21,470,57401.90,56406.70,True,True
25,926166577,21,452,54894.10,55218.80,True,True
26,926166577,21,460,55764.30,56232.00,True,True
27,926166577,21,451,56425.10,54044.80,True,True
28,926166577,21,460,56118.30,55311.90,True,True
29,926166577,21,451,54395.20,59743.30,True,True
30,926166577,21,462,54038.80,57013.10,True,True
31,926166577,21,455,55029.40,55829.00,True,True
32,859057713,21,489,54847.50,55022.00,True,True
33,859057713,21,450,56439.50,55298.30,True,True
34,859057713,21,471,57334.40,56071.20,True,True
35,859057713,21,452,55387.40,56256.60,True,True
36,859057713,21,461,57299.30,60546.90,True,True
37,859057713,21,450,55674.40,56795.80,True,True
38,859057713,21,463,54494.30,56516.30,True,True
39,859057713,21,454,56328.60,57789.60,True,True
40,859057713,21,461,56090.40,55648.20,True,True
41,825503281,21,535,55717.10,54449.70,True,True
42,825503281,21,470,57446.40,56516.70,True,True
43,825503281,21,450,53666.70,54915.00,True,True
44,825503281,21,461,60895.70,54377.30,True,True
45,825503281,21,451,55931.60,55508.40,True,True
46,825503281,21,462,57326.00,54870.10,True,True
47,825503281,21,460,58694.40,55473.60,True,True
48,825503281,21,460,57480.10,55325.20,True,True
49,926101041,21,453,58092.30,55401.20,True,True
50,926101041,21,463,56861.20,55483.80,True,True
51,926101041,21,452,55238.50,56835.30,True,True
52,926101041,21,460,59198.90,57931.80,True,True
