Chunk_ID,Sequence_ID,Size_Bytes,DeviceTime_uS,HashTime_uS,VerifyTime_uS,CID_Valid,Published
131,808726065,21,463,55123.40,59782.10,True,True
132,808726065,21,458,54321.00,54212.50,True,True
133,808726065,21,458,54625.60,55558.90,True,True
134,808726065,21,451,55852.60,54266.20,True,True
135,808726065,21,462,56368.90,55199.70,True,True
136,808726065,21,452,55549.10,55152.40,True,True
137,825503281,21,467,55385.10,55772.20,True,True
138,825503281,21,450,55915.80,58071.50,True,True
139,825503281,21,462,56161.30,54642.20,True,True
140,825503281,21,443,56410.60,56250.50,True,True
141,825503281,21,477,58387.60,56456.80,True,True
142,825503281,21,452,57749.20,53931.10,True,True
143,825503281,21,460,55380.60,58372.60,True,True
144,825503281,21,447,56345.50,57071.50,True,True
145,825503281,21,457,54849.60,57568.90,True,True
146,808726065,21,451,55107.00,57763.90,True,True
147,808726065,21,482,55574.30,55729.50,True,True
148,808726065,21,447,55156.60,57848.90,True,True
149,808726065,21,461,55023.00,53222.20,True,True
150,808726065,21,460,53950.30,55925.10,True,True
151,808726065,21,461,54215.60,55555.40,True,True
152,808726065,21,452,56569.50,56861.40,True,True
153,808726065,21,458,55923.20,54738.90,True,True
154,808726065,21,445,55401.40,55430.40,True,True
155,859057713,21,460,56995.70,56172.40,True,True
156,859057713,21,446,56670.70,58128.00,True,True
157,859057713,21,459,56648.90,58816.40,True,True
158,859057713,21,451,56094.40,55654.50,True,True
159,859057713,21,457,57193.30,54616.40,True,True
160,859057713,21,486,55802.70,57095.00,True,True
161,859057713,21,461,55757.80,58878.30,True,True
162,859057713,21,451,54029.00,55837.50,True,True
163,859057713,21,457,56735.50,54328.90,True,True
164,892612145,21,451,61372.60,55887.40,True,True
165,892612145,21,461,55340.40,54798.80,True,True
166,892612145,21,453,57136.80,56542.20,True,True
167,892612145,21,459,55414.80,55978.80,True,True
168,892612145,21,448,56549.80,54675.10,True,True
169,892612145,21,470,55454.50,54215.30,True,True
170,892612145,21,454,55005.90,55312.80,True,True
171,892612145,21,460,57381.50,53854.50,True,True
172,892612145,21,449,56054.80,58466.20,True,True
173,859057713,21,462,57746.70,57575.30,True,True
174,859057713,21,456,55313.70,56367.20,True,True
175,859057713,21,459,56503.60,55457.20,True,True
176,859057713,21,452,55856.00,57397.40,True,True
177,859057713,21,463,54829.10,54818.90,True,True
178,859057713,21,456,55519.40,54900.30,True,True
179,859057713,21,457,56487.70,57446.30,True,True
180,859057713,21,451,55039.30,55659.90,True,True
181,892612145,21,461,55752.90,54767.30,True,True
182,892612145,21,444,55065.70,53517.60,True,True
183,892612145,21,456,53640.50,52847.90,True,True
184,892612145,21,449,57026.40,54497.30,True,True
185,892612145,21,461,58707.80,56698.60,True,True
186,892612145,21,448,55318.60,55892.20,True,True
187,892612145,21,458,55684.70,56183.60,True,True
188,892612145,21,452,56742.90,54883.90,True,True
189,892612145,21,465,58002.30,57229.50,True,True
190,892612145,21,444,55116.70,55079.40,True,True
191,892612145,21,457,55354.10,55827.70,True,True
192,892612145,21,451,56001.60,55844.50,True,True
193,892612145,21,461,54536.00,58774.10,True,True
194,892612145,21,448,55994.10,55404.70,True,True
195,892612145,21,476,56034.60,54610.90,True,True
196,892612145,21,452,56789.10,55502.50,True,True
197,892612145,21,467,57490.50,55591.30,True,True
198,892612145,21,448,53629.90,54508.40,True,True
199,892612145,21,461,55006.50,53942.50,True,True
200,892612145,21,450,56931.30,55953.30,True,True
201,892612145,21,469,55147.40,56222.00,True,True
202,892612145,21,450,56827.50,56970.10,True,True
203,892612145,21,460,55777.30,56210.00,True,True
204,892612145,21,451,54792.50,54174.70,True,True
205,892612145,21,456,57361.50,55940.20,True,True
206,892612145,21,458,53397.50,54889.30,True,True
207,892612145,21,460,52851.60,58052.40,True,True
208,859057713,21,454,56669.50,55364.50,True,True
209,859057713,21,495,54812.60,56371.90,True,True
210,859057713,21,458,56474.50,54248.30,True,True
211,859057713,21,461,54550.80,55114.90,True,True
212,859057713,21,452,58991.40,55420.60,True,True
213,859057713,21,488,56308.50,57689.70,True,True
214,859057713,21,506,56006.70,54847.00,True,True
215,859057713,21,469,55219.20,56888.20,True,True
216,859057713,21,452,55931.70,56357.10,True,True
217,825503281,21,458,54680.90,55913.70,True,True
218,825503281,21,447,56210.00,54627.20,True,True
219,825503281,21,461,56162.10,55002.40,True,True
220,825503281,21,452,55219.60,53943.10,True,True
221,825503281,21,457,55182.10,55196.40,True,True
222,825503281,21,448,53962.90,58419.80,True,True
223,825503281,21,460,55982.70,52930.10,True,True
224,825503281,21,452,54881.20,54027.00,True,True
225,825503281,21,468,55784.10,57624.50,True,True
226,825503281,21,451,56822.70,55633.40,True,True
227,825503281,21,461,57694.00,56514.60,True,True
228,825503281,21,452,56907.90,57667.50,True,True
229,825503281,21,457,54498.50,56364.30,True,True
230,825503281,21,449,57182.60,54584.50,True,True
231,825503281,21,462,57228.20,53335.90,True,True
232,825503281,21,452,54986.40,56810.20,True,True
233,825503281,21,458,54020.90,57301.40,True,True
234,859057713,21,461,56574.60,56015.80,True,True
235,859057713,21,461,57188.90,56234.90,True,True
236,859057713,21,448,56479.50,58253.80,True,True
237,859057713,21,458,54854.30,57035.30,True,True
238,859057713,21,452,55795.00,56986.80,True,True
239,859057713,21,467,57008.10,54707.90,True,True
240,859057713,21,446,56875.20,56414.00,True,True
