Chunk_ID,Sequence_ID,Size_Bytes,DeviceTime_uS,HashTime_uS,VerifyTime_uS,CID_Valid,Published
1,859057720,21,443,54472.50,56023.70,True,True
2,859057720,21,466,56541.90,55673.20,True,True
3,859057720,21,445,53639.40,55789.20,True,True
4,859057720,21,445,57676.80,58467.30,True,True
5,859057720,21,451,56451.20,57282.30,True,True
6,859057720,21,443,54258.20,55689.20,True,True
7,859057720,21,441,54648.80,53303.20,True,True
8,859057720,21,442,55910.00,54142.00,True,True
9,859057720,21,443,58869.40,55591.20,True,True
10,859057720,21,443,53988.70,55013.00,True,True
11,859057720,21,441,56866.50,54749.80,True,True
12,859057720,21,445,54844.40,55294.20,True,True
13,808726072,21,443,55086.10,54811.70,True,True
14,808726072,21,457,53540.30,54562.20,True,True
15,808726072,21,444,55167.90,54823.40,True,True
16,808726072,21,445,53555.00,55985.00,True,True
17,808726072,21,443,55495.50,55369.00,True,True
18,808726072,21,454,55933.20,53742.50,True,True
19,808726072,21,444,58519.10,56092.90,True,True
20,808726072,21,445,56987.30,56290.90,True,True
21,808726072,21,444,55433.70,54283.50,True,True
22,825503288,21,515,54034.00,53885.70,True,True
23,825503288,21,452,56286.80,53943.50,True,True
24,825503288,21,444,57348.60,53918.50,True,True
25,825503288,21,444,54434.70,58437.50,True,True
26,825503288,21,446,55642.10,54538.60,True,True
27,825503288,21,443,53017.40,55660.10,True,True
28,825503288,21,455,54991.00,54714.90,True,True
29,825503288,21,443,53905.10,55776.60,True,True
30,825503288,21,445,54558.40,56453.60,True,True
31,909323832,21,445,56666.00,67810.20,True,True
32,909323832,21,447,69107.70,54208.00,True,True
33,909323832,21,444,54651.10,53430.30,True,True
34,909323832,21,445,54326.70,54832.30,True,True
35,909323832,21,445,56743.70,54853.20,True,True
36,909323832,21,445,53966.40,55862.20,True,True
37,909323832,21,444,55918.80,54608.20,True,True
38,909323832,21,445,57009.10,54235.20,True,True
39,909323832,21,444,53667.10,57370.30,True,True
40,959655480,21,446,54101.00,54099.50,True,True
41,959655480,21,443,55113.80,56650.40,True,True
